raw_name,canonical_name,method,confidence,source_url,timestamp
Semantics3,Semantics3,unmatched-new,0.0,https://www.ycombinator.com/companies/semantics3,2026-09-04T11:45:54.832774
SalesSift,SalesSift,unmatched-new,0.0,https://www.ycombinator.com/companies/salessift,2026-09-04T11:45:54.826693
Cruise,Cruise,unmatched-new,0.0,https://www.ycombinator.com/companies/cruise,2026-09-04T11:45:54.834689
Tule,Tule,unmatched-new,0.0,https://www.ycombinator.com/companies/tule,2026-09-04T11:45:54.827688
Sift,Sift,unmatched-new,0.0,https://www.ycombinator.com/companies/sift,2026-09-04T11:45:54.811442
20n,20n,unmatched-new,0.0,https://www.ycombinator.com/companies/20n,2026-09-04T11:45:54.901564
Casetext,Casetext,unmatched-new,0.0,https://www.ycombinator.com/companies/casetext,2026-09-04T11:45:54.817647
OpenCurriculum,OpenCurriculum,unmatched-new,0.0,https://www.ycombinator.com/companies/opencurriculum,2026-09-04T11:45:54.823777
Magic,Magic,exact,100.0,https://www.ycombinator.com/companies/magic,2026-09-04T11:45:54.926552
Zeitview,Zeitview,unmatched-new,0.0,https://www.ycombinator.com/companies/zeitview,2026-09-04T11:45:54.937020
MixerBox,MixerBox,unmatched-new,0.0,https://www.ycombinator.com/companies/mixerbox,2026-09-04T11:45:54.824709
Pachyderm,Pachyderm,unmatched-new,0.0,https://www.ycombinator.com/companies/pachyderm,2026-09-04T11:45:54.952019
Akido Labs,Akido Labs,unmatched-new,0.0,https://www.ycombinator.com/companies/akido-labs,2026-09-04T11:45:54.915553
Paperspace,Paperspace,unmatched-new,0.0,https://www.ycombinator.com/companies/paperspace,2026-09-04T11:45:54.965353
Checkr,Checkr,unmatched-new,0.0,https://www.ycombinator.com/companies/checkr,2026-09-04T11:45:54.839687
Marft,Marft,unmatched-new,0.0,https://www.ycombinator.com/companies/marft,2026-09-04T11:45:54.808169
Tempo,Tempo,unmatched-new,0.0,https://www.ycombinator.com/companies/tempo,2026-09-04T11:45:55.001557
Resolve,Resolve,unmatched-new,0.0,https://www.ycombinator.com/companies/resolve,2026-09-04T11:45:55.020930
Yhat,Yhat,unmatched-new,0.0,https://www.ycombinator.com/companies/yhat,2026-09-04T11:45:55.024933
SigOpt,SigOpt,unmatched-new,0.0,https://www.ycombinator.com/companies/sigopt,2026-09-04T11:45:55.047023
Dabble,Dabble,unmatched-new,0.0,https://www.ycombinator.com/companies/dabble,2026-09-04T11:45:55.037938
Standard Cyborg,Standard Cyborg,unmatched-new,0.0,https://www.ycombinator.com/companies/standard-cyborg,2026-09-04T11:45:55.069023
Tara AI,Tara AI,unmatched-new,0.0,https://www.ycombinator.com/companies/tara-ai,2026-09-04T11:45:55.081050
Mashgin,Mashgin,unmatched-new,0.0,https://www.ycombinator.com/companies/mashgin,2026-09-04T11:45:55.096175
Replika,Replika,unmatched-new,0.0,https://www.ycombinator.com/companies/replika,2026-09-04T11:45:55.078050
